OriginalPersonID,GlobalPersonID,AuthorFullName,Orcid,OpenAlexAuthorIDs
ORCID:0000-0001-5237-4408,ORCID:0000-0001-5237-4408,"WILLIAM, R. FORSTER",https://orcid.org/0000-0001-5237-4408,https://openalex.org/A5029415504
ORCID:0000-0001-5241-1897,ORCID:0000-0001-5241-1897,"SRIKRISHNA, CHINTALAPATI",https://orcid.org/0000-0001-5241-1897,https://openalex.org/A5050360367
ORCID:0000-0001-5242-3257,ORCID:0000-0001-5242-3257,NARDO J. M. VAN DER MEER,https://orcid.org/0000-0001-5242-3257,
ORCID:0000-0001-5243-0158,ORCID:0000-0001-5243-0158,"JAMES, J. JIANG",https://orcid.org/0000-0001-5243-0158,https://openalex.org/A5035499431
ORCID:0000-0001-5247-3633,ORCID:0000-0001-5247-3633,"DAVID, A. HARRISON",https://orcid.org/0000-0001-5247-3633,https://openalex.org/A5004345090
ORCID:0000-0001-5249-6536,ORCID:0000-0001-5249-6536,"LI, ZHU",https://orcid.org/0000-0001-5249-6536,https://openalex.org/A5100748869
ORCID:0000-0001-5250-9894,ORCID:0000-0001-5250-9894,"NICK, WILSON",https://orcid.org/0000-0001-5250-9894,https://openalex.org/A5067471673
ORCID:0000-0001-5253-2947,ORCID:0000-0001-5253-2947,MORENO MUFFATTO,https://orcid.org/0000-0001-5253-2947,
ORCID:0000-0001-5254-0015,ORCID:0000-0001-5254-0015,"ANGELA‐ELIZA, MICU",https://orcid.org/0000-0001-5254-0015,https://openalex.org/A5075182884
ORCID:0000-0001-5257-5330,ORCID:0000-0001-5257-5330,"IGNACIO, PAVEZ",https://orcid.org/0000-0001-5257-5330,https://openalex.org/A5054853869
ORCID:0000-0001-5258-4464,ORCID:0000-0001-5258-4464,"ALEXANDROS, PAPALEXANDRIS",https://orcid.org/0000-0001-5258-4464,https://openalex.org/A5000601588
ORCID:0000-0001-5265-3087,ORCID:0000-0001-5265-3087,"BERNARD, MANYENA",https://orcid.org/0000-0001-5265-3087,https://openalex.org/A5060051758
ORCID:0000-0001-5265-6798,ORCID:0000-0001-5265-6798,"GANESH, DASH",https://orcid.org/0000-0001-5265-6798,https://openalex.org/A5061523463
ORCID:0000-0001-5266-2215,ORCID:0000-0001-5266-2215,"RAJASEKHARAN, PILLAI",https://orcid.org/0000-0001-5266-2215,https://openalex.org/A5023196778
ORCID:0000-0001-5271-4062,ORCID:0000-0001-5271-4062,"UMAR, FAROOQ SAHIBZADA",https://orcid.org/0000-0001-5271-4062,https://openalex.org/A5004241322
ORCID:0000-0001-5274-793X,ORCID:0000-0001-5274-793X,"ELLEN, ENKEL",https://orcid.org/0000-0001-5274-793X,https://openalex.org/A5084637847
ORCID:0000-0001-5275-8700,ORCID:0000-0001-5275-8700,"HELDER, ANTUNES",https://orcid.org/0000-0001-5275-8700,https://openalex.org/A5024427601
ORCID:0000-0001-5277-8699,ORCID:0000-0001-5277-8699,"TAO, SUN",https://orcid.org/0000-0001-5277-8699,https://openalex.org/A5057518342
