SR,SR_ref
"JONES R, 2013, SERV IND J","RENKO M, 2012, MANAGE DECIS"
"JONES R, 2013, SERV IND J","ROTHWELL R, 1992, TECHNOVATION"
"JONES R, 2013, SERV IND J","SAXENIAN ANNALEE, 2002, LOCAL GLOBAL NETWORK"
"JONES R, 2013, SERV IND J","SHAW E, 1999, QUALITATIVE MARKET RESEARCH: AN INTERNATIONAL JOURNAL"
"JONES R, 2013, SERV IND J","SIEGEL DS, 2012, MANAGE DECIS"
"JONES R, 2013, SERV IND J","SIMPSON M, 2002, J SMALL BUS ENTERP D"
"JONES R, 2013, SERV IND J","SOUDER WE, 1997, J PROD INNOVAT MANAG"
"JONES R, 2013, SERV IND J","ZORTEA-JOHNSTON E, 2012, INT ENTREP MANAG J"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","AHMADI H, 2016, J STRATEG MARK"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","AL-ASKARI A, 2011, JOURNAL OF BUSINESS RETAIL MANAGEMENT RESEARCH"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","ATTUAHENE-GIMA K, 2001, ORGAN SCI"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","BECHERER RC, 2012, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","BETTIOL M, 2012, INT ENTREP MANAG J"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","BJERKE B, 2002, ENTREPRENEURIAL MARK"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","BUSKIRK BD, 2004, ENTREPRENEURIAL MARKETING: REAL STORIES AND SURVIVAL STRATEGIES"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","CHASTON I, 1998, JOURNAL OF MARKETING MANAGEMENT"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","CHASTON I, 1997, MARKETING EDUCATION REVIEW"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","CHIN WW, 2003, INFORM SYST RES"
